MESSAGE,THEME,USER NAME,SENTIMENT,TYPE POST,TYPE USER,SERVICE,OBJECT NAME
"· ₫9,999 Hải Phòng Samsung Galaxy S8/S8+ Giảm Đến 4.000.000đ Thời gian áp dụng từ 14.7 đến 21.7 Đối tượng khách hàng áp dụng: Khách hàng từng mua Samsung S6, S6 Edge, S7, S7 Edge, Note 4, Note 5 tại FPTShop Khách hàng được giảm ngay 2.000.000đ khi mua S8/",3,Hiếu Lê,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"· ₫9,999 Hải Phòng Samsung Galaxy S8/S8+ Giảm Đến 4.000.000đ Thời gian áp dụng từ 14.7 đến 21.7 Đối tượng khách hàng áp dụng: Khách hàng từng mua Samsung S6, S6 Edge, S7, S7 Edge, Note 4, Note 5 tại FPTShop Khách hàng được giảm ngay 2.000.000đ khi mua S8/",3,Hiếu Lê,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"· ₫9,999 Hải Phòng Samsung Galaxy S8/S8+ Giảm Đến 4.000.000đ Thời gian áp dụng từ 14.7 đến 21.7 Đối tượng khách hàng áp dụng: Khách hàng từng mua Samsung S6, S6 Edge, S7, S7 Edge, Note 4, Note 5 tại FPTShop Khách hàng được giảm ngay 2.000.000đ khi mua S8/",3,Hiếu Lê,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"Khi con bò sữa bị vắt đi nhiều sữa và ko cho nó ăn thì lâu đâu mà vắt tiếp. Ngân hàng cũng chỉ là công cụ cho một số lợi ích nhóm thôi. Click for more Posted by 131,683 Views Làng Vũ Đai.chipheo · Đang mổ bò ở Sacombank",2,Hiếu Mạnh Lê,NEGATIVE,POST,Personal,Management,SACOMBANK
"May em ko có tiền ko thôi cung ăn ko ngon ngủ ko yên Click for more Posted by 271,698 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Hieu Minh,NEGATIVE,POST,Personal,Management,SACOMBANK
· Sacombank . Cs cho ng thân né ms đ Cổ đông Sacombank bức xúc và đòi đại gia Trầm Bê phải lộ diện chịu trách nhiệm Đại hội cổ đông thường niên 2017 của Sacombank ngày 30/6 đã bầu ông Dương Công Minh làm Chủ tịch HĐQT ngân hàng này. Đây là bước ngoặt mới ,2,Hiếu Minh Phạm,NEGATIVE,POST,Personal,Management,SACOMBANK
"Thời buổi công nghệ rồi nhanh như chớp vậy Click for more Posted by 251,872 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Hieu Nguyen,NEUTRAL,POST,Personal,Management,SACOMBANK
"Lại một ngân hàng nữa mang nợ????? Click for more Posted by Learn More Watch Again Resume Video Learn More Sacombank Learn More 1,189 Views Hoài Linh CO · Ông Trầm Bê đâu, sao không có mặt?",2,Hieu Nguyen,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Chiếc Lexus biển số xanh của Trầm B đã xuất hiện ở ngân hàng Sacombank. Liệu anh B có kịp đi nước ngoài khám bệnh không ta? Clip cổ đông Sacombank phản ứng ""người vắng mặt"" Trầm Bê - Tuổi Trẻ Online TTO - Các cổ đông đã phản ứng gay gắt về sự vắng mặt c",2,Hiếu Nguyễn,NEUTRAL,POST,Personal,Management,SACOMBANK
"· Chờ 3 năm sau fb nhắc cái tên sacombank Chấm dứt Đặng Văn Thành, mất hút Trầm Bê, Dương Công Minh lộ diện Cuối cùng cuộc chiến quyền lực kéo dài hơn 5 năm tại Sacombank đã hạ màn với sự xuất hiện của một nhân vật hoàn toàn mới: Dương Công Minh, với nhữn",2,Hieu Pham,NEUTRAL,POST,Personal,Management,SACOMBANK
"Ngân hàng Sacombank vs Phương Nam bể nợ rồi tranh thủ rút hết tiền về nha ace..! Click for more Posted by 221,862 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Hieu Sicario,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Chia sẻ với các bạn một bài phỏng vấn với tôi trên báo Trí thức trẻ của phóng viên Kim Tiền, số ra ngày 3/7/17 về việc Sacombank có Tân Chủ tịch HĐQT, ông Dương Công Minh và ông Minh đưa ra kế hoạch lợi nhuận trong năm nay cho Sacombank. Mời quí vị và c",2,Hieu Tri Nguyen,NEUTRAL,POST,Personal,Management,SACOMBANK
"Sacombank... một cái tên mới được điểm Click for more Posted by 3,737 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Hiếu Trung Lê,NEGATIVE,POST,Personal,Management,SACOMBANK
· không hiểu nổi cái ngân hàng sacombank này luôn. khách nạp vô 2tr2 thì mất 50k còn 2tr150 khi rút tiền bằng trụ atm mà mất phí tới 13 ngàn kkk nhiu đó ko nói j. tự nhiên đang năm cái tn báo lại bạn đã rút 13 ngàn trong hôm nay nữa kkk. tự nhiên mất tiền,2,Hiếu Trung Nguyễn,NEGATIVE,POST,Personal,Account Activity,SACOMBANK
Không có tin tưởng thì không có giao trứng cho ác. Thử hỏi bọn đại gia ở VN kiếm tiền từ đâu? Hãy tin vào các định chế vững chắc chứ đừng tin vào con người. Khi chưa có định chế đáng tin thì phải xây dựng. Chưa xây được định chế thì đừng trao tiền cho bọn,2,Hieu Van Ngo,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Giàu+tham=Hố! Nhà giàu cũng khóc! Biến lớn tại đại hội cổ đông ngân hàng Sacombank, đại gia Trầm Bê bị bêu tên chửi bới - Tin Tức Mới Tin báo mới hôm nay Biến lớn tại đại hội cổ đông ngân hàng Sacombank, đại gia Trầm Bê bị bêu tên chửi bới Nhớ đăng ký k",2,Hniv Ly,NEGATIVE,POST,Personal,Management,SACOMBANK
"Sacombank có biến ... Click for more Posted by 1,030,956 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Hồ Hằng,NEGATIVE,POST,Personal,Management,SACOMBANK
"# Techcombank Không những chuyển tiền trong cùng hệ thống và ngoài hệ thống đều 0 đồng. Mà còn có thể rút tiền qua điện thoại trong trường hợp quên mang thẻ nữa. Pham Thuy · # Vietinbank , # Techcombank , # Sacombank là 3 ngân hàng có tính năng rút tiền t",2,Hồ Hoan,NEUTRAL,POST,Personal,Account Activity,SACOMBANK
"· # Ngọc là chế nào vô nhận hàng đi, Sacombank tự nhiên nt cho tui hà",2,Hồ Hoàng An,NEUTRAL,POST,Personal,Customer Care,SACOMBANK
"· Phó Tổng tài sắc vẹn toàn Bổ nhiệm quyền Tổng Giám đốc Sacombank TPO - Ngân hàng TMCP Sài Gòn Thương Tín (Sacombank) vừa chính thức bổ nhiệm bà Nguyễn Đức Thạch Diễm, Phó Tổng giám đốc giữ chức vụ Quyền Tổng giám đốc kể từ ngày 3/7. tienphong.vn",2,Hồ Minh Oai,NEUTRAL,POST,Personal,H.R,SACOMBANK
"Sacombank Trong cái rủi có cái may ! Hôm ngân hàng kêu phỏng vấn tuyển người em đã không đi. Giờ thì olala em khỏi lo bị giảm biên chế. Click for more Posted by 660,467 Views Pavel Thao · ""Ông Trầm Bê đâu?""",2,Hồ Minh Trí,NEGATIVE,POST,Personal,Management,SACOMBANK
"chuyen gi se sai ra dai Click for more Posted by 278,294 Views Công An Thành Phố · Ông Trầm Bê đâu, sao không có mặt? Sacombank có chuyện gì chăng ??",2,Ho Minhnhan,NEUTRAL,POST,Personal,Management,SACOMBANK
"Sự bất ổn định sẽ ảnh hưởng đến việc kinh doanh. Các chủ nhà băng rất nhạy cảm, và điều sẽ xảy ra khi nền kinh tế cạn tiền https://m.facebook.com/story.php… · Trong hành động mới đây việc các ngân hàng nước ngoài bỏ chạy khỏi VN như Commonwealth Bank of A",3,Hố Nai Quê Tôi,NEUTRAL,POST,Personal,H.R,SACOMBANK
"Có biến kìa ace ơi... Click for more Posted by Learn More goo.gl Watch Again Resume Video Learn More goo.gl Quà tặng cuộc sống Learn More goo.gl 93,230 Views Quà tặng cuộc sống · Sacombank có biến. anh em rút tiền nhanh :((",2,Họ Nguyễn Tên Hiền,NEGATIVE,POST,Personal,Management,SACOMBANK
"Sacom bank bê bối vcl... Click for more Posted by 301,443 Views Pavel Thao · ""Ông Trầm Bê đâu?""",2,Hồ Quang Minh,NEGATIVE,POST,Personal,Management,SACOMBANK
"· ai mak có vietcombank , vpbank , tpbank , ocb , acb , vietinbank , eximbank , sacombank , bidv ai mún tặng 130k ib mình nhé ( dành cho người chưa liên kết ví momo )",3,Hồ Sơn,NEUTRAL,POST,Personal,Personal Internet Banking,SACOMBANK
"Lại Cp Bank. Làm gì có bác nào đứng ra chịu trách nhiệm chịu trách nhiệm mồm thôi. Lỡ tin tồi chắc sẽ mất thôi. Cp chỉ là giấy... lại giông OGC nữa chăng? Click for more Posted by 291,250 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh th",2,Ho Sy Thanh,NEGATIVE,POST,Personal,Management,SACOMBANK
"· A ri Bank, Sacom bank, Kho bạc nhà nước nge, in tiền ra rồi ko Cho tao tiền thì thôi ko Cho tao làm thì thôi, kiu người chửi tao vài nge lũ Quan Tham ô chó rẻ tiền Con mẹ tụi bây,vua càng Long, vua Gia Long ,người tàu Cho mấy tụi bây ăn Bom Bom Cho tụi ",2,Ho Tha,NEGATIVE,POST,Personal,H.R,SACOMBANK
· Ông Trầm Bê ở đâu giữa “tâm bão Sacombank“? http://a.msn.com/r/2/BBDPiwn?a=1&m=VI-VN phương Phương Dung Lê Phạm Khanh Tiến Chau Xuan Nguyen xứ Xứ Thanh Hồ Ông Trầm Bê ở đâu giữa “tâm bão Sacombank“? Bức xúc trước kết quả kinh doanh bết bát trong những n,2,Ho ThaiHien,NEUTRAL,POST,Personal,Management,SACOMBANK
"Sacombank có biến gì vậy mấy huynh đệ tỉ mụi Click for more Posted by 1,085,399 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Hồ Thị Thủy Ngân,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Sacombank, niềm tự hào cách đây 5 năm về trước. Giờ bay khỏi top 10, Điều hành kém, thất thoát tiền cổ đông thì nên có luật mà trị thì mới hết bịnh rút rụt tiền nhà bank. Thay đổi hàng loạt nhân sự cấp cao tại Sacombank - VnExpress Kinh Doanh Trong vòng",2,Ho Tin,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Hay quá cô ơi. Nợ thì càng ngày càng tăng. Ăn. Nuốt cho cố mạng. Bầu ra người đứng đầu để làm gì chỉ để ngồi bù nhìn đến khi tiền ai chịu. Chúng Biến lớn tại đại hội cổ đông ngân hàng Sacombank, đại gia Trầm Bê bị bêu tên chửi bới - Tin Tức Mới Tin báo ",2,Hồ Trần Minh Luân,NEGATIVE,POST,Personal,Management,SACOMBANK
"Tận hưởng mức lãi suất chỉ từ 0,85 - 1,3%/tháng với gói #vay_tín_chấp Bảo Tín của Sacombank 😍😍😍
",1,Chuyên Gia Tín Dụng,NEUTRAL,POST,Personal Page/Group,Personal Loan,SACOMBANK
"Đừng gửi sacombank nữa mn nha Click for more Posted by 1,364,225 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Hoa Cỏ May,NEGATIVE,POST,Personal,Management,SACOMBANK
"· bác trầm bê thành trầm beo rùi!! hiazzz! tội các cổ đông! Biến lớn tại đại hội cổ đông ngân hàng Sacombank, đại gia Trầm Bê bị bêu tên chửi bới - Tin Tức Mới Tin báo mới hôm nay Biến lớn tại đại hội cổ đông ngân hàng Sacombank, đại gia Trầm Bê bị bêu tê",2,Hoa Cường Lê Dương,NEGATIVE,POST,Personal,Management,SACOMBANK
Ngân hàng Sacombank vỡ nợ . Thủ tướng Nguyễn Tấn Dũng đang lùm xùm vụ tham ô trong khi Thủ tướng Nguyễn Tấn Dũng là người ký các quyết định quan trọng của ngân hàng này Trầm Bê là người đứng đầu trong hội đồng quản trị của Sacombank không ra mặt giải quyế,2,Hoa Đá,NEGATIVE,POST,Personal,Management,SACOMBANK
"Ai có lo dần là vừa Click for more Posted by 15,640 Views Phan Đông Việt · Đại hội cổ đông thường niên Sacombank ngày 30/6/2017 Sacombank với 60.000 tỷ đồng tiền nợ xấu ! Rồi liệu 1 ngày nào đó tiền của người dân sẽ đi về đâu",2,Hòa Đậu,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Ai có thẻ atm của các ngân hàng sau và có cả internetbanking thì để lại dấu chấm e hướng dẫn kiếm tiền nhé : ACB , Vietcombank , VP Bank ,TP Bank , OCB , ACB , Sacombank , Eximbank",3,Hoa Dứa,NEUTRAL,POST,Personal,Personal Internet Banking,SACOMBANK
"Ai bảo ngan hàng chắc thi cu Gửi nhieu vao nhe....... Con riêng toi nghèo ko đu ăn nầy đau ra ma co tiền gửi ngan hàng Click for more Posted by 88,103 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Hoa Hong Dang,NEGATIVE,POST,Personal,Other,SACOMBANK
"· Khó hiểu quá, bạn nào học NH giải thích hộ với Các cổ đông Sacombank chỉ tay, phản ứng gay gắt với HĐQT Sacombank tại đại hội cổ đông Các cổ đông đã phản ứng gay gắt về sự vắng mặt của ông Trầm Bê, cựu Phó chủ tịch HĐQT Sacombank. Ông Trầm Bê, người đã ",2,Hoa Huynhh,NEGATIVE,POST,Personal,Management,SACOMBANK
· Lồm ăn kiểu VNCB ver 2.0 Southern Bank về Sacombank như “gả con gái cho đại gia có đạo đức” Đó là câu ví von của Bà Nguyễn Thị Phi Loan – Cục phó Cục Thanh tra Giám sát NHNN tại TP.HCM trong Đại hội cổ đông bất thường của Ngân hàng TMCP Phương Nam (Sout,2,Hoa Kim Cuong,NEUTRAL,POST,Personal,Management,SACOMBANK
"Ngân hàng bây giờ. không thể đặt niềm tin ở ngân hàng Click for more Posted by Learn More goo.gl Watch Again Resume Video Learn More goo.gl Quà tặng cuộc sống Learn More goo.gl 139,001 Views Quà tặng cuộc sống · Sacombank có biến. anh em rút tiền nhanh :(",2,Hoa Mai Nail,NEGATIVE,POST,Personal,Account Activity,SACOMBANK
"· Ơi là chờnnnn!!! Có ai bị sacombank làm phiền như tui k v, có cái dụ làm thẻ free thôi mà, đã mình nói nào e có thời gian e mới lại được, bắt mình đặt lịch cho bằng được, nói là ưu đãi này nọ tùm lum, không tốn trăm mấy tiền làm thẻ. Mới đầu mình nói k ",2,Hoa Nguyễn,NEGATIVE,POST,Personal,Customer Care,SACOMBANK
"· https://youtu.be/AeBxGLZETjo Có thấy quen không hả chế Yumy Nguyen Tuyet Mai Lê Trang Bắt ""ông vua con"" Sacombank bốc hơi cùng 26 tỷ Bắt ""ông vua con"" Sacombank bốc hơi cùng 26 tỷ. Lợi dụng vị trí công tác, đối tượng Nguyễn Minh Tân, nguyên trưởng phòng",2,Hòa Nguyễn,NEGATIVE,POST,Personal,H.R,SACOMBANK
"60 000 tỷ đồng nợ xấu ! đừng đùa dzai nhé Click for more Posted by 18,674 Views Phan Đông Việt · Đại hội cổ đông thường niên Sacombank ngày 30/6/2017 Sacombank với 60.000 tỷ đồng tiền nợ xấu ! Rồi liệu 1 ngày nào đó tiền của người dân sẽ đi về đâu",2,Hoa Nhat Anh,NEGATIVE,POST,Personal,Management,SACOMBANK
"Giải bóng đá Doanh nhân trẻ lần 1-2017. +2 Hội Dnt Việt Nam · Hanoi Phát động Giải Bóng đá Doanh nhân trẻ toàn quốc lần thứ I Ngày 11/7/2017, tại Hà Nội đã diễn ra Lễ Phát động Giải Bóng đá Doanh nhân trẻ toàn quốc lần thứ I – năm 2017 tranh cúp Sacombank",1,Hòa Thành,NEUTRAL,POST,Personal,Brand Activity,SACOMBANK
"· chúc mừng chú DƯƠNG CÔNG MINH - Phó chủ tịch hội đồng họ Dương Việt Nam - Chủ tịch Tập đoàn HIM LAM đã trở thành chủ tịch mới của ngân hàng SACOMBANK - ngân hàng quốc doanh hàng đầu tại miền nam [Hồ sơ] Ông Dương Công Minh, tân chủ tịch Sacombank Ông Dư",2,Hoa Thiên Vũ,NEUTRAL,POST,Personal,H.R,SACOMBANK
"Chuyển qua vay sacombank đi vk! K thanh toán đc thì bồi thường cho chúng nó 75tr thôi · https://m.facebook.com/story.php… Ngân hàng sacomebank trong giai đoạn sắp vỡ nợ phải kê khai phá sản ,các cổ đông lên tiếng nói về sự hứa hẹn của ông trầm bê là sẽ đả",2,Hòa Thượng Phá Giới,NEGATIVE,POST,Personal,Management,SACOMBANK
"Học tập và làm theo tấm gương....... Click for more Posted by 6,904 Views Cộng Hòa Thời Báo · Ông Trầm Bê đâu, sao không có mặt? Ý kiến Bà Giáo Già Cổ Đông Viên Sacombank Nguồn Thương Gia Online",2,Hoa Tran,NEGATIVE,POST,Personal,Management,SACOMBANK
"Tiền của dân là ở đây chỉ một phần thôi Click for more Posted by 31,281 Views Cộng Hòa Thời Báo · Sacombank ""Ông Trầm Bê đâu?"" Nguồn Pavel Thao",2,Hoa Van,NEGATIVE,POST,Personal,Management,SACOMBANK
"Ai có tiền thì đi rút nha....sacom đây Click for more Posted by 326,066 Views Tin Nóng - News · Ông Trầm Bê đâu, sao không có mặt? Sacombank có biến lớn ??",2,Hoa Vô Lệ,NEGATIVE,POST,Personal,Management,SACOMBANK
Có bạn nào biết ở gần khu vực lương sơn mình có trụ sở chính của ngân hàng sacombank ko ạ Save Saved DOOSUNG TECH VIETNAM ·,2,Hoa Xứ Mường,NEUTRAL,POST,Personal,Branch,SACOMBANK
"Có ai hóng dc vụ này ko kể với Click for more Posted by 260,148 Views Tin Nóng - News · Ông Trầm Bê đâu, sao không có mặt? Sacombank có biến lớn ??",2,Hoa Xuyến Chi,NEUTRAL,POST,Personal,Management,SACOMBANK
"· Day người con của Quê Huong Bắc ninh (Quế võ) Chân dung tân Chủ tịch Sacombank Dương Công Minh Ông Dương Công Minh, quê Bắc Ninh vừa chính thức bầu làm Chủ tịch HĐQT Ngân hàng Sài Gòn Thương Tín (Sacombank). bacninh.tintuc.vn By Bắc Ninh See more from B",2,Hoài Anh Tran,NEUTRAL,POST,Personal,H.R,SACOMBANK
"· Đặt trước Samsung # Galaxy_S8_Plus_Tím_Khói - Thời gian áp dụng đặt trước: 1/7 - 7/7 - Giá bán: 20.490.000đ - Phiên bản S8 Plus màu Tím Khói (Orchid Gray) - Số tiền đặt cọc tối thiểu: 500.000đ, nếu không lấy sẽ được hoàn cọc sau ngày 15/07 - Thời gian m",3,Hoài Khoai,NEUTRAL,POST,Personal,Credit card,SACOMBANK
· Anh chị em nào có thể vietcombank Sacombank Chưa liên kết momo... Ib e.. Hướng dẫn kiếm tiền nhé,3,Hoài Le,NEUTRAL,POST,Personal,Personal Internet Banking,SACOMBANK
"Lại là nhà nước nhúng tay ! Dũng Thế Vũ Follow · Ai tiếp tay cho lũ ăn cướp, chiếm đoạt Sacombank? Trước đây Sacombank hoạt động rất hiệu quả. Có lúc giá cổ phiếu STB lên đến 150-170K/ cổ phiếu. Tình hình tài chính lành mạnh. Sau khi bị bè lũ từ ngân hàng",2,Hoài Minh,NEUTRAL,POST,Personal,Management,SACOMBANK
"Thầy phân tích quá hay. Dũng Thế Vũ Follow Ho Chi Minh City · Cái post hôm qua của mình về Sacombank gợi một số quan sát thú vị. 1. Nói một chút về tính bất cân xứng về quyền lực. Giả sử, đại gia A có 20% cổ phần ở Ngân hàng B và 90% ở công ty C. Với 20% ",2,Hoài Minh,NEUTRAL,POST,Personal,Management,SACOMBANK
"· Cướp có tổ chứ, có quá trình và vô cùng nham hiểm. Clip cổ đông Sacombank phản ứng ""người vắng mặt"" Trầm Bê - Tuổi Trẻ Online TTO - Các cổ đông đã phản ứng gay gắt về sự vắng mặt của ông Trầm Bê, cựu Phó chủ tịch HĐQT Sacombank. Ông Trầm Bê, người đã bị",2,Hoài Minh,NEGATIVE,POST,Personal,Management,SACOMBANK
"Tiền gửi vào ngân hàng cũng ko an toàn Click for more Posted by 62,767 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Hoài My,NEGATIVE,POST,Personal,Management,SACOMBANK
"Hau Nguyen cho mẹ hậu coi nè Click for more Posted by 7,150 Views Hoa Lan Bảo Ngọc · ACE đang có tiền trong Sacombank có nên rút tiền ra không ạ??? Ông Trần Bê ơi, sao gọi mãi không ra ạ, để cô ấy gọi mãi vậy!!!",2,Hoài Nhi,NEGATIVE,POST,Personal,Account Activity,SACOMBANK
"Có ai xài Sacombank k? Click for more Posted by 251,325 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Hoai Tan Chung,NEGATIVE,POST,Personal,Management,SACOMBANK
"· [8 LÝ DO BẠN NÊN CHỌN NEU ĐỂ HỌC] (So với năm 2016, bổ sung thêm 01 lý do - Học bổng cực nhiều) Trường có bề dày truyền thống hơn 60 năm xây dựng và phát triển: Có đội ngũ giảng viên trình độ cao và tâm huyết: 1235 cán bộ, giảng viên, công nhân viên, tr",3,Hoài Thanh,NEUTRAL,POST,Personal,Brand Activity,SACOMBANK
"Sacombank có biến. Click for more Posted by 498,766 Views Nguyễn Phú Ngọc Follow · Sacombank có biến. Rút tiền nhanh thôi :((",2,Hoài Thu,NEGATIVE,POST,Personal,Management,SACOMBANK
· Đậu xanh! Rút tiền sacombank! Nó trừ tiền! Mình không nhận được tiền! Nó cũng ko tự hồi tiền lại tk! Vậy là sao? Mất tiền rồi sao?,2,Hoài Thương,NEGATIVE,POST,Personal,Account Activity,SACOMBANK
"Sáp nhập Phương Nam vào Sacom và Cổ đông gánh nợ ???????????? Click for more Posted by 1,901,255 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Hoài Thương,NEGATIVE,POST,Personal,Management,SACOMBANK
· Xin chúc mừng a/e Sacombank Kiên Giang bảo vệ thành công chức vô địch (3mùa liền).,4,Hoai Tran,NEUTRAL,POST,Personal,Internal Activity,SACOMBANK
· Còn 1 cái thẻ sacombank muốn làm free 200 sò cho ae ai làm ib 1 ng duy nhất thôi nha !! Ai k muốn nhận thì đừng cmt,4,Hoán Quách,NEUTRAL,POST,Personal,No service,SACOMBANK
"· Ae nào chưa nhận 200 sò thì ib mình , mình còn mỗi 1 cái thẻ sacombank muốn làm free cho 1 ng nhanh nhất !! Ai k muốn nhận thì xin đừng cmt",3,Hoán Quách,NEUTRAL,POST,Personal,Personal Internet Banking,SACOMBANK
"SacomBank có biến lớn Click for more Posted by 213,163 Views Tin Nóng - News · Ông Trầm Bê đâu, sao không có mặt? Sacombank có biến lớn ??",2,Hoàng Anh,NEGATIVE,POST,Personal,Management,SACOMBANK
"Lên đời Galaxy S8 hoàn tiền tới 4 TRIỆU Thời gian áp dụng từ 14.7 đến 21.7 - Đối tượng khách hàng áp dụng: Khách hàng từng mua Samsung S6, S6 Edge, S7, S7 Edge, Note 4, Note 5 tại FPTShop - Khách hàng được giảm ngay 2.000.000đ khi mua S8/S8+ (tất cả các m",3,Hoàng Anh Tú,NEUTRAL,POST,Personal,Credit card,SACOMBANK
"Cổ phần>>> cổ đông >>> cổ tức Click for more Posted by 16,241 Views Diễn Giả Hoàng Kim Dung · "" Ông Trầm Bê đâu, sao không có mặt ? "" Hoàng Kim Dung rất đồng cảm với các cổ đông Sacombank. Tiền mồ hôi xương máu của mình làm ra, nếu không biết bảo vệ ",2,Hoàng Cư,NEGATIVE,POST,Personal,Management,SACOMBANK
"Sacombank đó sao Click for more Posted by 1,783,377 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Hoàng Diễm My,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Lưu lại để rảnh đọc chơi! Nhìn lại 3 năm “triều đại” Trầm Bê tại Sacombank Nhà tài phiệt gốc Khơ-me “đoạn duyên” ngân hàng theo một cách âm thầm nhất có thể. Và gần 3 năm trước, đối thủ cũ của ông - đại gia Đặng Văn Thành - cũng ra đi theo một cách hao ",2,Hoàng Điệp,NEUTRAL,POST,Personal,Management,SACOMBANK
"Chỉ trách thằng cty sự kiện nào thầu vụ này. Đưa Mic cho người ta rồi xong lại tắt điiii Click for more Posted by 26,456 Views Bluevn · Bạn đã xem chưa: Biến lớn tại ĐHCĐ Ngân hàng Sacombank. ""Ông Trầm Bê đâu, sao không có mặt?""",2,Hoàng Diệu Linh,NEUTRAL,POST,Personal,Management,SACOMBANK
"· FREE Thành phố Hồ Chí Minh Khi bạn cần vay mua nhà, đất? Hãy đến với Sacombank. Vay mua nhà, đất Sacombank thủ tục nhanh gọn, dịch vụ hàng đầu thị trường . Rất mong được hợp tác vơí anh,chị, em trong hội - Mr Phương 0168 242 9902/ 0121 510 3066",1,Hoàng Đình Phương,NEUTRAL,POST,Personal,Personal Loan,SACOMBANK
"· FREE Thành phố Hồ Chí Minh Khi bạn cần vay mua nhà, đất? Hãy đến với Sacombank. Vay mua nhà, đất Sacombank thủ tục nhanh gọn, dịch vụ hàng đầu thị trường . Rất mong được hợp tác vơí anh,chị, em trong hội - Mr Phương 0168 242 9902/ 0121 510 3066",1,Hoàng Đình Phương,NEUTRAL,POST,Personal,Personal Loan,SACOMBANK
"· Bà con nào cần đăng ký Uỷ thác tiền điện qua Ngân hàng thì ủng hộ Sacombank nhé! Hà Nội và TP.HCM sẽ không còn thu tiền điện tại nhà từ tháng 7 Toàn TP. Hà Nội và một vài khu vực tại TP.HCM sẽ không còn nhân viên thu tiền điện tại nhà kể từ tháng 7, việ",1,Hoang Dk,NEUTRAL,POST,Personal,Payment,SACOMBANK
"Mới đăng ký cái thẻ này cho vợ xài Sacombank · Trong khuôn khổ sự kiện “JCB Vietnam Review 2017” tại Đà Nẵng, Sacombank đã vinh dự nhận 2 giải thưởng từ Tổ chức thẻ quốc tế JCB (thương hiệu thẻ Nhật Bản) trao tặng là: Ngân hàng dẫn đầu về tổng doanh số gi",1,Hoang Dk,NEUTRAL,POST,Personal,Award,SACOMBANK
"Sacombank có biến bà con ơi!!!!! Click for more Posted by 133,902 Views Cộng Hòa · Ông Trầm Bê đâu, sao không có mặt? Ý kiến Bà Giáo Già Cổ Đông Viên Sacombank Nguồn Thương Gia Online",2,Hoang Do,NEGATIVE,POST,Personal,Management,SACOMBANK
"Một phút huy hoàng rồi chợt tắt. Hơn 500 ngàn cổ phiếu của bà này sắp gone. Click for more Posted by 8,270 Views Cộng Hòa Thời Báo · Sacombank ""Ông Trầm Bê đâu?"" Nguồn Pavel Thao",2,Hoang Do,NEGATIVE,POST,Personal,Management,SACOMBANK
"Ai có tk sacombank nên xem xét nha Click for more Posted by 1,303,178 Views Thương Gia Online · Ông Trầm Bê đâu, sao không có mặt?",2,Hoàng Đỗ,NEGATIVE,POST,Personal,Management,SACOMBANK
"Xong . ai gởi sacombak chuẩn bị nhận tiền bảo hiểm phá sản 75tr. Click for more Posted by 216,479 Views Đình Sang và Những Người Bạn · Một Thằng Làm Chẳng Lên Non Ba Thằng Chụm Lai Tan Hoang Luôn Ngân Hàng Sacombank",2,Hoang DU Nguyen,NEGATIVE,POST,Personal,Management,SACOMBANK
"· Ông Dương Công Minh hiện là Chủ tịch HĐQT Công ty Cổ phần Him Lam, một đơn vị chuyên kinh doanh trong lĩnh vực bất động sản với nhiều dự án tầm cỡ, ngoài ra, ông là nguyên Chủ tịch HĐQT LienVietPostBank. Ông Dương Công Minh: Cố gắng tái cơ cấu xong Saco",1,Hoàng Đức,NEUTRAL,POST,Personal,Management,SACOMBANK
· làm cái thẻ cất vài tỷ đi đâu cũng tiện. hii Sacombank *Hồ sơ cần gửi trực tiếp về hội sở Sacombank ở HCM & HN (nhân viên Sacombank sẽ hướng dẫn bạn) sacombank.vnfiba.com,2,Hoàng Đức Thuận,NEUTRAL,POST,Personal,No service,SACOMBANK
